frequency_THz,Absoprtion,Parameter_Value,Parameter_g,Parameter_r,Parameter_md,Parameter_a
5.4695,0.12691781,1.75,1,0,0,0
5.474,0.12771326,1.75,1,0,0,0
5.4785,0.12856135,1.75,1,0,0,0
5.48075,0.12900561,1.75,1,0,0,0
5.483,0.12946362,1.75,1,0,0,0
5.4875,0.13042172,1.75,1,0,0,0
5.492,0.13143594,1.75,1,0,0,0
5.4965,0.13250181,1.75,1,0,0,0
5.501,0.13362234,1.75,1,0,0,0
5.5055,0.13480686,1.75,1,0,0,0
5.51,0.1360564,1.75,1,0,0,0
5.5145,0.13737131,1.75,1,0,0,0
5.519,0.13875297,1.75,1,0,0,0
5.5235,0.14020326,1.75,1,0,0,0
5.528,0.14172431,1.75,1,0,0,0
5.5325,0.14331845,1.75,1,0,0,0
5.533625,0.14372869,1.75,1,0,0,0
5.537,0.14498814,1.75,1,0,0,0
5.5415,0.14673599,1.75,1,0,0,0
5.546,0.14856477,1.75,1,0,0,0
5.5505,0.15047738,1.75,1,0,0,0
5.555,0.15247689,1.75,1,0,0,0
